CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,0,No,No,65,Yes,Fiber optic,Month-to-month,20.04,1302.6,No
CUST00002,Male,0,No,No,26,Yes,Fiber optic,Month-to-month,65.14,1693.64,No
CUST00003,Male,0,Yes,No,54,Yes,Fiber optic,Month-to-month,49.38,2666.52,No
CUST00004,Female,0,Yes,Yes,70,Yes,DSL,One year,31.19,2183.3,No
CUST00005,Male,0,No,No,53,Yes,DSL,Month-to-month,103.86,5504.58,Yes
CUST00006,Female,0,No,Yes,45,Yes,Fiber optic,Month-to-month,87.34,3930.3,Yes
CUST00007,Female,0,Yes,No,35,Yes,No,One year,119.91,4196.85,Yes
CUST00008,Female,0,Yes,Yes,20,Yes,Fiber optic,Month-to-month,69.84,1396.8,Yes
CUST00009,Female,0,Yes,Yes,48,No,No,Month-to-month,53.07,2547.36,No
CUST00010,Female,0,No,No,33,Yes,No,Two year,46.38,1530.54,No
CUST00011,Female,0,No,No,33,Yes,Fiber optic,One year,63.54,2096.82,Yes
CUST00012,Female,0,No,No,39,Yes,No,Month-to-month,50.99,1988.61,No
CUST00013,Male,1,No,No,6,No,DSL,Month-to-month,119.08,714.48,No
CUST00014,Male,0,Yes,Yes,51,No,Fiber optic,Month-to-month,38.28,1952.28,No
CUST00015,Female,0,Yes,Yes,48,Yes,Fiber optic,Month-to-month,21.91,1051.68,Yes
CUST00016,Female,0,Yes,No,36,Yes,DSL,Two year,33.0,1188.0,No
CUST00017,Female,0,No,No,61,Yes,No,Month-to-month,109.15,6658.15,No
CUST00018,Female,0,No,No,14,Yes,DSL,Month-to-month,89.39,1251.46,No
CUST00019,Female,0,Yes,No,1,Yes,Fiber optic,Month-to-month,98.4,98.4,No
CUST00020,Female,0,Yes,No,10,Yes,DSL,Month-to-month,52.05,520.5,No
CUST00021,Male,0,No,No,16,Yes,Fiber optic,Month-to-month,82.27,1316.32,Yes
CUST00022,Male,0,Yes,No,44,Yes,Fiber optic,Month-to-month,90.79,3994.76,Yes
CUST00023,Female,0,Yes,No,67,Yes,Fiber optic,Month-to-month,52.64,3526.88,No
CUST00024,Female,0,No,No,60,Yes,Fiber optic,Two year,92.45,5547.0,No
CUST00025,Female,0,Yes,Yes,45,Yes,Fiber optic,Month-to-month,82.97,3733.65,No
CUST00026,Male,0,No,Yes,31,Yes,Fiber optic,Month-to-month,49.62,1538.22,No
CUST00027,Female,0,Yes,Yes,18,Yes,DSL,Month-to-month,25.29,455.22,Yes
CUST00028,Male,0,Yes,No,66,Yes,Fiber optic,Two year,43.79,2890.14,No
CUST00029,Male,0,Yes,No,3,Yes,No,One year,81.95,245.85,No
CUST00030,Male,0,No,No,24,Yes,Fiber optic,Month-to-month,79.9,1917.6,No
CUST00031,Female,0,No,No,20,Yes,Fiber optic,Two year,70.76,1415.2,No
CUST00032,Female,0,No,No,13,Yes,DSL,Two year,45.15,586.95,No
CUST00033,Male,0,No,Yes,21,Yes,DSL,Month-to-month,64.45,1353.45,No
CUST00034,Male,0,Yes,No,47,No,No,Month-to-month,34.4,1616.8,No
CUST00035,Male,0,No,No,50,Yes,No,Two year,86.24,4312.0,No
CUST00036,Male,0,Yes,No,10,Yes,DSL,Month-to-month,106.92,1069.2,No
CUST00037,Female,0,Yes,Yes,58,Yes,Fiber optic,Month-to-month,66.37,3849.46,No
CUST00038,Male,1,Yes,Yes,13,Yes,Fiber optic,Month-to-month,41.3,536.9,No
CUST00039,Female,0,Yes,No,6,Yes,Fiber optic,Month-to-month,102.79,616.74,No
